book_names,book_urls,author_name,avg_rating,no_of_ratings,img_src,image_name
"Something Borrowed (Darcy & Rachel, #1)",https://www.goodreads.com/book/show/42156.Something_Borrowed,Emily Giffin,3.88,579009,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1305063535i/42156._SY75_.jpg,cover_305.png
"The Final Empire (Mistborn, #1)",https://www.goodreads.com/book/show/68428.The_Final_Empire,Brandon Sanderson,4.48,675620,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1617768316i/68428._SY75_.jpg,cover_306.png
"Clockwork Prince (The Infernal Devices, #2)",https://www.goodreads.com/book/show/10025305-clockwork-prince,Cassandra Clare,4.43,549563,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460477747i/10025305._SY75_.jpg,cover_307.png
"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",https://www.goodreads.com/book/show/389627.Diary_of_a_Wimpy_Kid,Jeff Kinney,3.98,689913,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388183826i/389627._SX50_.jpg,cover_308.png
"The Mark of Athena (The Heroes of Olympus, #3)",https://www.goodreads.com/book/show/12127750-the-mark-of-athena,Rick Riordan,4.47,594093,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464201354i/12127750._SY75_.jpg,cover_309.png
"Legend (Legend, #1)",https://www.goodreads.com/book/show/9275658-legend,Marie Lu,4.16,526465,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1501368160i/9275658._SY75_.jpg,cover_310.png
"Unravel Me (Shatter Me, #2)",https://www.goodreads.com/book/show/13104080-unravel-me,Tahereh Mafi,4.15,525657,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340287622i/13104080._SY75_.jpg,cover_311.png
"Fallen (Fallen, #1)",https://www.goodreads.com/book/show/6487308-fallen,Lauren Kate,3.72,583687,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440619649i/6487308._SY75_.jpg,cover_312.png
"City of Fallen Angels (The Mortal Instruments, #4)",https://www.goodreads.com/book/show/6752378-city-of-fallen-angels,Cassandra Clare,4.08,598129,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369452302i/6752378._SY75_.jpg,cover_313.png
Number the Stars,https://www.goodreads.com/book/show/47281.Number_the_Stars,Lois Lowry,4.19,564222,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630542426i/47281._SX50_.jpg,cover_314.png
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",https://www.goodreads.com/book/show/13214.I_Know_Why_the_Caged_Bird_Sings,Maya Angelou,4.29,527784,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327957927i/13214._SY75_.jpg,cover_315.png
Everything I Never Told You,https://www.goodreads.com/book/show/18693763-everything-i-never-told-you,Celeste Ng,3.85,545078,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386795198i/18693763._SY75_.jpg,cover_316.png
"Inferno (Robert Langdon, #4)",https://www.goodreads.com/book/show/17212231-inferno,Dan Brown,3.88,548308,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1534070896i/17212231._SY75_.jpg,cover_317.png
"The Scorch Trials (The Maze Runner, #2)",https://www.goodreads.com/book/show/7631105-the-scorch-trials,James Dashner,3.90,577050,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388240248i/7631105._SY75_.jpg,cover_318.png
Anxious People,https://www.goodreads.com/book/show/53799686-anxious-people,Fredrik Backman,4.18,623636,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594234890i/53799686._SX50_.jpg,cover_319.png
"The Son of Neptune (The Heroes of Olympus, #2)",https://www.goodreads.com/book/show/9520360-the-son-of-neptune,Rick Riordan,4.42,582866,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464201114i/9520360._SY75_.jpg,cover_320.png
The Ocean at the End of the Lane,https://www.goodreads.com/book/show/15783514-the-ocean-at-the-end-of-the-lane,Neil Gaiman,4.02,614096,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1497098563i/15783514._SY75_.jpg,cover_321.png
"One for the Money (Stephanie Plum, #1)",https://www.goodreads.com/book/show/6853.One_for_the_Money,Janet Evanovich,4.05,549126,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316730230i/6853._SY75_.jpg,cover_322.png
"Dead Until Dark (Sookie Stackhouse, #1)",https://www.goodreads.com/book/show/301082.Dead_Until_Dark,Charlaine Harris,3.97,538546,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468560853i/301082._SY75_.jpg,cover_323.png
All the Bright Places,https://www.goodreads.com/book/show/18460392-all-the-bright-places,Jennifer Niven,4.13,559557,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404331702i/18460392._SY75_.jpg,cover_324.png
A Midsummer Night’s Dream,https://www.goodreads.com/book/show/1622.A_Midsummer_Night_s_Dream,William Shakespeare,3.95,537770,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327874534i/1622._SY75_.jpg,cover_325.png
milk and honey,https://www.goodreads.com/book/show/23513349-milk-and-honey,Rupi Kaur,3.98,723435,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1491595510i/23513349._SY75_.jpg,cover_326.png
Heart of Darkness,https://www.goodreads.com/book/show/4900.Heart_of_Darkness,Joseph Conrad,3.43,510192,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392799983i/4900._SX50_.jpg,cover_327.png
"Bared to You (Crossfire, #1)",https://www.goodreads.com/book/show/20448515-bared-to-you,Sylvia Day,4.14,524764,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433411511i/20448515._SY75_.jpg,cover_328.png
Pet Sematary,https://www.goodreads.com/book/show/33124137-pet-sematary,Stephen King,4.06,586384,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1480069533i/33124137._SY75_.jpg,cover_329.png
An Abundance of Katherines,https://www.goodreads.com/book/show/49750.An_Abundance_of_Katherines,John Green,3.52,527374,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360206426i/49750._SY75_.jpg,cover_330.png
The Woman in Cabin 10,https://www.goodreads.com/book/show/28187230-the-woman-in-cabin-10,Ruth Ware,3.74,609644,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465878007i/28187230._SY75_.jpg,cover_331.png
"The Summer I Turned Pretty (Summer, #1)",https://www.goodreads.com/book/show/5821978-the-summer-i-turned-pretty,Jenny Han,3.76,759619,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361666855i/5821978._SY75_.jpg,cover_332.png
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,https://www.goodreads.com/book/show/40121378-atomic-habits,James Clear,4.36,844063,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655988385i/40121378._SY75_.jpg,cover_333.png
"Siege and Storm (The Shadow and Bone Trilogy, #2)",https://www.goodreads.com/book/show/14061955-siege-and-storm,Leigh Bardugo,3.82,600500,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362166252i/14061955._SX50_.jpg,cover_334.png
"Crooked Kingdom (Six of Crows, #2)",https://www.goodreads.com/book/show/22299763-crooked-kingdom,Leigh Bardugo,4.60,628910,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456172607i/22299763._SY75_.jpg,cover_335.png
"The Eye of the World (The Wheel of Time, #1)",https://www.goodreads.com/book/show/228665.The_Eye_of_the_World,Robert Jordan,4.19,527686,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659905815i/228665._SY75_.jpg,cover_336.png
Into Thin Air: A Personal Account of the Mount Everest Disaster,https://www.goodreads.com/book/show/1898.Into_Thin_Air,Jon Krakauer,4.24,502289,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631501298i/1898._SY75_.jpg,cover_337.png
East of Eden,https://www.goodreads.com/book/show/4406.East_of_Eden,John Steinbeck,4.41,534811,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1639969375i/4406._SY75_.jpg,cover_338.png
"Iron Flame (The Empyrean, #2)",https://www.goodreads.com/book/show/90202302-iron-flame,Rebecca Yarros,4.36,789111,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1706724269i/90202302._SY75_.jpg,cover_339.png
Blink: The Power of Thinking Without Thinking,https://www.goodreads.com/book/show/40102.Blink,Malcolm Gladwell,3.96,590076,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440763417i/40102._SX50_.jpg,cover_340.png
The Last Song,https://www.goodreads.com/book/show/6400090-the-last-song,Nicholas Sparks,4.16,553281,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1286549186i/6400090._SY75_.jpg,cover_341.png
Misery,https://www.goodreads.com/book/show/10614.Misery,Stephen King,4.21,691699,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554220401i/10614._SY75_.jpg,cover_342.png
"Things We Never Got Over (Knockemout, #1)",https://www.goodreads.com/book/show/60060431-things-we-never-got-over,Lucy Score,4.17,728166,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1641629293i/60060431._SY75_.jpg,cover_343.png
"The Deal (Off-Campus, #1)",https://www.goodreads.com/book/show/24920901-the-deal,Elle Kennedy,4.24,699307,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431282052i/24920901._SX50_.jpg,cover_344.png
"The Wicked King (The Folk of the Air, #2)",https://www.goodreads.com/book/show/26032887-the-wicked-king,Holly Black,4.31,727432,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520620414i/26032887._SY75_.jpg,cover_345.png
"The Spanish Love Deception (Spanish Love Deception, #1)",https://www.goodreads.com/book/show/54189398-the-spanish-love-deception,Elena Armas,3.84,669287,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1610900883i/54189398._SY75_.jpg,cover_346.png
The Four Winds,https://www.goodreads.com/book/show/53138081-the-four-winds,Kristin Hannah,4.30,652759,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594925043i/53138081._SY75_.jpg,cover_347.png
Atonement,https://www.goodreads.com/book/show/6867.Atonement,Ian McEwan,3.94,517293,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320449708i/6867._SY75_.jpg,cover_348.png
Then She Was Gone,https://www.goodreads.com/book/show/35297426-then-she-was-gone,Lisa Jewell,4.06,658298,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523891273i/35297426._SY75_.jpg,cover_349.png
The Couple Next Door,https://www.goodreads.com/book/show/28815474-the-couple-next-door,Shari Lapena,3.81,580080,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1471502242i/28815474._SY75_.jpg,cover_350.png
"Hopeless (Hopeless, #1)",https://www.goodreads.com/book/show/62967897-hopeless,Colleen Hoover,4.25,559710,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1666362713i/62967897._SY75_.jpg,cover_351.png
The Perfect Marriage,https://www.goodreads.com/book/show/53450790-the-perfect-marriage,Jeneva Rose,3.97,633193,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1593388297i/53450790._SY75_.jpg,cover_352.png
The Very Hungry Caterpillar,https://www.goodreads.com/book/show/4948.The_Very_Hungry_Caterpillar,Eric Carle,4.33,506868,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1603739265i/4948._SX50_.jpg,cover_353.png
"The Silence of the Lambs (Hannibal Lecter, #2)",https://www.goodreads.com/book/show/23807.The_Silence_of_the_Lambs,Thomas Harris,4.24,545768,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1647930822i/23807._SY75_.jpg,cover_354.png
"Queen of Shadows (Throne of Glass, #4)",https://www.goodreads.com/book/show/76707900-queen-of-shadows,Sarah J. Maas,4.60,721576,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673566810i/76707900._SY75_.jpg,cover_355.png
"Twisted Love (Twisted, #1)",https://www.goodreads.com/book/show/55817097-twisted-love,Ana Huang,3.73,804575,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618487915i/55817097._SY75_.jpg,cover_356.png
"The Rosie Project (Don Tillman, #1)",https://www.goodreads.com/book/show/16181775-the-rosie-project,Graeme Simsion,4.02,553788,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1371651741i/16181775._SY75_.jpg,cover_357.png
"The Unhoneymooners (Unhoneymooners, #1)",https://www.goodreads.com/book/show/42201431-the-unhoneymooners,Christina Lauren,3.92,818538,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1548201335i/42201431._SY75_.jpg,cover_358.png
"Heir of Fire (Throne of Glass, #3)",https://www.goodreads.com/book/show/20613470-heir-of-fire,Sarah J. Maas,4.47,819680,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460846511i/20613470._SY75_.jpg,cover_359.png
A Little Life,https://www.goodreads.com/book/show/22822858-a-little-life,Hanya Yanagihara,4.34,596627,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1446469353i/22822858._SY75_.jpg,cover_360.png
"Crown of Midnight (Throne of Glass, #2)",https://www.goodreads.com/book/show/17167166-crown-of-midnight,Sarah J. Maas,4.36,947705,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391580481i/17167166._SY75_.jpg,cover_361.png
"The Queen of Nothing (The Folk of the Air, #3)",https://www.goodreads.com/book/show/26032912-the-queen-of-nothing,Holly Black,4.36,653847,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553624975i/26032912._SX50_.jpg,cover_362.png
"House of Earth and Blood (Crescent City, #1)",https://www.goodreads.com/book/show/44778083-house-of-earth-and-blood,Sarah J. Maas,4.50,627362,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559142847i/44778083._SY75_.jpg,cover_363.png
"From Blood and Ash (Blood and Ash, #1)",https://www.goodreads.com/book/show/52831200-from-blood-and-ash,Jennifer L. Armentrout,4.24,548216,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585598504i/52831200._SX50_.jpg,cover_364.png
"The Housemaid (The Housemaid, #1)",https://www.goodreads.com/book/show/60556912-the-housemaid,Freida McFadden,4.33,963506,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1646534743i/60556912._SY75_.jpg,cover_365.png
Behind Closed Doors,https://www.goodreads.com/book/show/29437949-behind-closed-doors,B.A. Paris,3.98,587751,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1458854462i/29437949._SY75_.jpg,cover_366.png
"Maybe Someday (Maybe, #1)",https://www.goodreads.com/book/show/62967882-maybe-someday,Colleen Hoover,4.02,531225,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1666362550i/62967882._SY75_.jpg,cover_367.png
"Where'd You Go, Bernadette",https://www.goodreads.com/book/show/13526165-where-d-you-go-bernadette,Maria Semple,3.88,570220,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1338822317i/13526165._SY75_.jpg,cover_368.png
Before We Were Yours,https://www.goodreads.com/book/show/32148570-before-we-were-yours,Lisa Wingate,4.40,598956,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498910914i/32148570._SY75_.jpg,cover_369.png
Love and Other Words,https://www.goodreads.com/book/show/36206591-love-and-other-words,Christina Lauren,4.28,546108,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1667534514i/36206591._SY75_.jpg,cover_370.png
Norwegian Wood,https://www.goodreads.com/book/show/11297.Norwegian_Wood,Haruki Murakami,4.01,594189,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1699682893i/11297._SY75_.jpg,cover_371.png
"The Bad Beginning (A Series of Unfortunate Events, #1)",https://www.goodreads.com/book/show/78411.The_Bad_Beginning,Lemony Snicket,4.01,517334,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436737029i/78411._SX50_.jpg,cover_372.png
"Foundation (Foundation, #1)",https://www.goodreads.com/book/show/29579.Foundation,Isaac Asimov,4.17,535262,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417900846i/29579._SX50_.jpg,cover_373.png
The Time Machine,https://www.goodreads.com/book/show/2493.The_Time_Machine,H.G. Wells,3.89,516531,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327942880i/2493._SY75_.jpg,cover_374.png
American Dirt,https://www.goodreads.com/book/show/45046527-american-dirt,Jeanine Cummins,4.37,564057,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559127861i/45046527._SY75_.jpg,cover_375.png
The Great Alone,https://www.goodreads.com/book/show/34912895-the-great-alone,Kristin Hannah,4.42,764414,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1501852423i/34912895._SY75_.jpg,cover_376.png
"Rich Dad, Poor Dad",https://www.goodreads.com/book/show/69571.Rich_Dad_Poor_Dad,Robert T. Kiyosaki,4.12,613330,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388211242i/69571._SY75_.jpg,cover_377.png
Carrie,https://www.goodreads.com/book/show/10592.Carrie,Stephen King,3.98,715060,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1166254258i/10592._SY75_.jpg,cover_378.png
Regretting You,https://www.goodreads.com/book/show/44582454-regretting-you,Colleen Hoover,4.14,581184,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559332442i/44582454._SY75_.jpg,cover_379.png
"Interview with the Vampire (The Vampire Chronicles, #1)",https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire,Anne Rice,4.02,585529,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380631642i/43763._SY75_.jpg,cover_380.png
Turtles All the Way Down,https://www.goodreads.com/book/show/35504431-turtles-all-the-way-down,John Green,3.89,559401,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503002776i/35504431._SY75_.jpg,cover_381.png
Project Hail Mary,https://www.goodreads.com/book/show/54493401-project-hail-mary,Andy Weir,4.51,548096,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1597695864i/54493401._SY75_.jpg,cover_382.png
Love in the Time of Cholera,https://www.goodreads.com/book/show/9712.Love_in_the_Time_of_Cholera,Gabriel García Márquez,3.94,501816,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1644691354i/9712._SY75_.jpg,cover_383.png
Fight Club,https://www.goodreads.com/book/show/36236124-fight-club,Chuck Palahniuk,4.19,588293,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558216416i/36236124._SY75_.jpg,cover_384.png
"City of Lost Souls (The Mortal Instruments, #5)",https://www.goodreads.com/book/show/8755776-city-of-lost-souls,Cassandra Clare,4.22,528557,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460477703i/8755776._SY75_.jpg,cover_385.png
"Ruin and Rising (The Shadow and Bone Trilogy, #3)",https://www.goodreads.com/book/show/14061957-ruin-and-rising,Leigh Bardugo,3.99,515457,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392398530i/14061957._SX50_.jpg,cover_386.png
World War Z: An Oral History of the Zombie War,https://www.goodreads.com/book/show/8908.World_War_Z,Max Brooks,4.02,523018,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528312647i/8908._SX50_.jpg,cover_387.png
All Your Perfects,https://www.goodreads.com/book/show/38926487-all-your-perfects,Colleen Hoover,4.05,569324,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531682842i/38926487._SY75_.jpg,cover_388.png
"The Cuckoo's Calling (Cormoran Strike, #1)",https://www.goodreads.com/book/show/16160797-the-cuckoo-s-calling,Robert Galbraith,3.89,578278,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1540217136i/16160797._SY75_.jpg,cover_389.png
"Neverwhere (London Below, #1)",https://www.goodreads.com/book/show/14497.Neverwhere,Neil Gaiman,4.17,526954,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348747943i/14497._SX50_.jpg,cover_390.png
"Empire of Storms (Throne of Glass, #5)",https://www.goodreads.com/book/show/76713323-empire-of-storms,Sarah J. Maas,4.61,609438,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1676979605i/76713323._SY75_.jpg,cover_391.png
"The Gunslinger (The Dark Tower, #1)",https://www.goodreads.com/book/show/43615.The_Gunslinger,Stephen King,3.92,607315,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554220416i/43615._SY75_.jpg,cover_392.png
Yes Please,https://www.goodreads.com/book/show/20910157-yes-please,Amy Poehler,3.85,523168,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402815435i/20910157._SY75_.jpg,cover_393.png
Station Eleven,https://www.goodreads.com/book/show/20170404-station-eleven,Emily St. John Mandel,4.07,512695,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1680459872i/20170404._SX50_.jpg,cover_394.png
"Icebreaker (Maple Hills, #1)",https://www.goodreads.com/book/show/61767292-icebreaker,Hannah Grace,3.92,665160,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659045816i/61767292._SY75_.jpg,cover_395.png
"It Happened One Summer (Bellinger Sisters, #1)",https://www.goodreads.com/book/show/55659629-it-happened-one-summer,Tessa Bailey,3.97,526070,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1604991895i/55659629._SY75_.jpg,cover_396.png
The Art of Racing in the Rain,https://www.goodreads.com/book/show/3153910-the-art-of-racing-in-the-rain,Garth Stein,4.23,518121,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377206302i/3153910._SY75_.jpg,cover_397.png
Malibu Rising,https://www.goodreads.com/book/show/55404546-malibu-rising,Taylor Jenkins Reid,4.04,999597,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618293107i/55404546._SY75_.jpg,cover_398.png
Such a Fun Age,https://www.goodreads.com/book/show/43923951-such-a-fun-age,Kiley Reid,3.80,515920,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557181911i/43923951._SY75_.jpg,cover_399.png
"A Court of Silver Flames (A Court of Thorns and Roses, #4)",https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames,Sarah J. Maas,4.47,998393,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1602570691i/53138095._SY75_.jpg,cover_400.png
"The Maid (Molly the Maid, #1)",https://www.goodreads.com/book/show/55196813-the-maid,Nita Prose,3.78,520978,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1643228739i/55196813._SY75_.jpg,cover_401.png
"Twisted Games (Twisted, #2)",https://www.goodreads.com/book/show/56653002-twisted-games,Ana Huang,4.12,537384,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1625752847i/56653002._SY75_.jpg,cover_402.png
The Power of Habit: Why We Do What We Do in Life and Business,https://www.goodreads.com/book/show/12609433-the-power-of-habit,Charles Duhigg,4.13,503347,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545854312i/12609433._SY75_.jpg,cover_403.png
"The Assassin's Blade (Throne of Glass, #0.1-0.5)",https://www.goodreads.com/book/show/126062562-the-assassin-s-blade,Sarah J. Maas,4.25,532400,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1680869667i/126062562._SY75_.jpg,cover_404.png
"It's Not Summer Without You (Summer, #2)",https://www.goodreads.com/book/show/6584188-it-s-not-summer-without-you,Jenny Han,3.79,506244,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479864019i/6584188._SY75_.jpg,cover_405.png
The Paris Apartment,https://www.goodreads.com/book/show/58468990-the-paris-apartment,Lucy Foley,3.67,500970,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1645550948i/58468990._SY75_.jpg,cover_406.png
